Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,movie_id
163,Sweetwater,-,-,-,"$541,633",1204,"$541,633",Apr 14,Briarcliff Entertainment,False,1425834753
164,Aftersun,-,-,-,"$539,031",97,"$1,658,790",Oct 21,A24,False,2866774785
165,Consecration,-,-,-,"$538,551",762,"$538,551",Feb 10,IFC Films,False,1307149057
166,Sanctuary,-,-,-,"$535,202",225,"$535,202",May 19,-,False,3281355521
167,CatVideoFest 2023,-,-,-,"$519,612",88,"$519,612",Aug 4,Oscilloscope,False,1487110913
168,The Good Mother,-,-,-,"$503,378",423,"$503,378",Sep 1,Vertical Entertainment,False,2040365825
169,Triangle of Sadness,-,-,-,"$490,678",610,"$4,608,096",Oct 7,Neon,False,3722543873
170,"Crouching Tiger, Hidden Dragon2023 Re-release",-,-,-,"$451,549",475,"$451,549",Feb 17,Sony Pictures Classics,False,
171,A Father's Heart,-,-,-,"$447,912",741,"$447,912",May 1,Fathom Events,False,3397550849
172,The Son,-,-,-,"$424,964",554,"$449,650",Jan 20,Sony Pictures Classics,False,3167912705
173,The Essential Church,-,-,-,"$412,550",301,"$412,550",Jul 28,Atlas Distribution Company,False,1050313473
174,Aristotle and Dante Discover the Secrets of the Universe,-,-,-,"$391,596",525,"$391,596",Sep 8,Blue Fox Entertainment,False,984056577
175,Mending the Line,-,-,-,"$379,890",403,"$379,890",Jun 9,Blue Fox Entertainment,False,1150649089
176,Go West,-,-,-,"$340,017",38,"$340,017",Jul 19,Purdie Distribution,False,2157937409
177,Terrifier,-,-,-,"$339,946",853,"$339,946",Jul 19,-,False,1971553025
178,Selfiee,-,-,-,"$335,775",308,"$335,775",Feb 24,-,False,4261118721
179,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,-,-,-,"$334,159",34,"$335,417",Dec 30,Sony Pictures Entertainment (SPE),False,3000140545
180,Stop Making Sense2023 Re-release,-,-,-,"$332,925",264,"$961,552",Sep 22,-,False,
181,Wild Life,-,-,-,"$326,184",30,"$326,184",Apr 14,Picturehouse,False,3230434049
182,Children of the Corn,-,-,-,"$325,583",586,"$325,583",Mar 3,-,False,2139194113
183,Waltair Veerayya,-,-,-,"$320,000",350,"$320,000",Jan 13,-,False,3153691393
184,Passages,-,-,-,"$319,539",114,"$535,909",Aug 4,MUBI,False,3130688257
185,The Lesson,-,-,-,"$310,746",268,"$310,746",Jul 7,-,False,59147009
186,Psycho-Pass: Providence,-,-,-,"$309,757",419,"$309,757",Jul 14,Crunchyroll,False,2861925121
187,UFC 291: Poirier vs. Gaethje 2,-,-,-,"$308,825",347,"$308,825",Jul 29,-,False,613581569
188,Joyland,-,-,-,"$298,556",38,"$306,500",Apr 7,Oscilloscope,False,1308197633
189,Mirando Al Cielo,-,-,-,"$295,539",680,"$295,539",Apr 18,Fathom Events,False,1023312641
190,Southern Gospel,-,-,-,"$293,496",600,"$293,496",Mar 10,-,False,1207534337
191,Dreamin' Wild,-,-,-,"$291,972",402,"$291,972",Aug 4,Roadside Attractions,False,1151435521
192,School of Magical Animals,-,-,-,"$288,414",301,"$288,414",Mar 24,Blue Fox Entertainment,False,3464790785
193,The Eight Mountains,-,-,-,"$276,084",51,"$302,456",Apr 28,Variance Films,False,3113059073
194,Every Body,-,-,-,"$273,860",255,"$273,860",Jun 30,Focus Features,False,1703183105
195,Outlaw Johnny Black,-,-,-,"$268,709",307,"$268,709",Sep 15,The Samuel Goldwyn Company,False,917275393
196,Empire of Light,-,-,-,"$260,974",436,"$1,177,577",Dec 9,Searchlight Pictures,False,4291789569
197,Born to Fly,-,-,-,"$256,752",74,"$277,011",Apr 28,Well Go USA Entertainment,False,2458616577
198,RRR Fan CelebRRRation2023 Re-release,-,-,-,"$256,566",283,"$256,566",Mar 3,Variance Films,False,
199,The Inventor,-,-,-,"$253,587",700,"$253,587",Sep 15,Blue Fox Entertainment,False,3349447425
200,Afire,-,-,-,"$238,927",44,"$238,927",Jul 14,Sideshow Releasing,False,1788510977
